source_dataset,passenger_id,pclass,survived,name,sex,age,family_size,fare,embarked,survived_label
Dataset 1,1,3,0,Mr. Anthony,male,42.0,0.0,7.55,,Did Not Survive
Dataset 1,2,3,0,Master. Eugene Joseph,male,,2.0,20.25,S,Did Not Survive
Dataset 1,3,2,0,"Abbott, Mr. Rossmore Edward",,,2.0,,S,Did Not Survive
Dataset 1,4,3,1,"Abbott, Mr. Rossmore Edward",female,35.0,2.0,20.25,S,Survived
Dataset 1,5,3,1,"Abelseth, Miss. Karen Marie",female,16.0,0.0,7.65,S,Survived
Dataset 1,6,3,1,"Abelseth, Mr. Olaus Jorgensen",male,25.0,0.0,7.65,S,Survived
Dataset 1,7,2,0,"Abelson, Mr. Samuel",male,30.0,1.0,24.0,C,Did Not Survive
Dataset 1,8,2,1,"Abelson, Mrs. Samuel (Hannah Wizosky)",female,28.0,1.0,24.0,C,Survived
Dataset 1,9,3,1,"Abrahamsson, Mr. Abraham August Johannes",male,20.0,0.0,7.925,S,Survived
Dataset 1,10,3,1,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)",female,18.0,0.0,7.2292,C,Survived
Dataset 1,11,3,0,"Adahl, Mr. Mauritz Nils Martin",male,30.0,0.0,7.25,S,Did Not Survive
Dataset 1,12,3,0,"Adams, Mr. John",male,26.0,0.0,8.05,S,Did Not Survive
Dataset 1,13,3,0,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,40.0,1.0,9.475,S,Did Not Survive
Dataset 1,14,3,1,"Aks, Master. Philip Frank",male,0.83,1.0,9.35,S,Survived
Dataset 1,15,3,1,"Aks, Mrs. Sam (Leah Rosen)",female,18.0,1.0,9.35,S,Survived
Dataset 1,16,3,1,"Albimona, Mr. Nassef Cassem",male,26.0,0.0,18.7875,C,Survived
Dataset 1,17,2,0,"Aldworth, Mr. Charles Augustus",male,30.0,0.0,13.0,S,Did Not Survive
Dataset 1,18,3,0,"Alexander, Mr. William",male,26.0,0.0,7.8875,S,Did Not Survive
Dataset 1,19,3,0,"Alhomaki, Mr. Ilmari Rudolf",male,20.0,0.0,7.925,S,Did Not Survive
Dataset 1,20,3,0,"Ali, Mr. Ahmed",male,24.0,0.0,7.05,S,Did Not Survive
Dataset 1,21,3,0,"Ali, Mr. William",male,25.0,0.0,7.05,S,Did Not Survive
Dataset 1,22,1,1,"Allen, Miss. Elisabeth Walton",female,29.0,0.0,211.3375,S,Survived
Dataset 1,23,3,0,"Allen, Mr. William Henry",male,35.0,0.0,8.05,S,Did Not Survive
Dataset 1,24,1,1,"Allison, Master. Hudson Trevor",male,0.92,3.0,151.55,S,Survived
Dataset 1,25,1,0,"Allison, Miss. Helen Loraine",female,2.0,3.0,151.55,S,Did Not Survive
Dataset 1,26,1,0,"Allison, Mr. Hudson Joshua Creighton",male,30.0,3.0,151.55,S,Did Not Survive
Dataset 1,27,1,0,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25.0,3.0,151.55,S,Did Not Survive
Dataset 1,28,3,0,"Allum, Mr. Owen George",male,18.0,0.0,8.3,S,Did Not Survive
Dataset 1,29,3,0,"Andersen, Mr. Albert Karvin",male,32.0,0.0,22.525,S,Did Not Survive
Dataset 1,30,3,1,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.0,1.0,7.8542,S,Survived
Dataset 1,31,1,1,"Anderson, Mr. Harry",male,48.0,0.0,26.55,S,Survived
Dataset 1,32,3,0,"Andersson, Master. Sigvard Harald Elias",male,4.0,6.0,31.275,S,Did Not Survive
Dataset 1,33,3,0,"Andersson, Miss. Ebba Iris Alfrida",female,6.0,6.0,31.275,S,Did Not Survive
Dataset 1,34,3,0,"Andersson, Miss. Ellis Anna Maria",female,2.0,6.0,31.275,S,Did Not Survive
Dataset 1,35,3,1,"Andersson, Miss. Erna Alexandra",female,17.0,6.0,7.925,S,Survived
Dataset 1,36,3,0,"Andersson, Miss. Ida Augusta Margareta",female,38.0,6.0,7.775,S,Did Not Survive
Dataset 1,37,3,0,"Andersson, Miss. Ingeborg Constanzia",female,9.0,6.0,31.275,S,Did Not Survive
Dataset 1,38,3,0,"Andersson, Miss. Sigrid Elisabeth",female,11.0,6.0,31.275,S,Did Not Survive
Dataset 1,39,3,0,"Andersson, Mr. Anders Johan",male,39.0,6.0,31.275,S,Did Not Survive
Dataset 1,40,3,1,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.0,0.0,7.7958,S,Survived
Dataset 1,41,3,0,"Andersson, Mr. Johan Samuel",male,26.0,0.0,7.775,S,Did Not Survive
Dataset 1,42,3,0,"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",female,39.0,6.0,31.275,S,Did Not Survive
